population,income,homeval,rentval,district,statefull,abbr,label,gopvi,sqrmiles,density,white
715939,39544,178479,660,9,Ohio,OH,OH-9,-15,464.65,1540,0.7610843940615052
724109,45313,182723,733,10,Ohio,OH,OH-10,3,1129.76,640,0.7741141181783405
704662,32963,151714,687,11,Ohio,OH,OH-11,-30,244.46,2882,0.40319756138403945
737402,62771,202511,810,12,Ohio,OH,OH-12,8,2271.91,324,0.8897155147395858
721145,40827,191791,661,13,Ohio,OH,OH-13,-11,894.3,806,0.8389020238648259
718754,59043,215753,805,14,Ohio,OH,OH-14,4,1953.14,367,0.9174877635463594
732459,54676,188566,796,15,Ohio,OH,OH-15,6,4738.93,154,0.9130517885642746
721968,59778,213049,778,16,Ohio,OH,OH-16,6,1205.34,598,0.9383850807792036
766928,48846,190171,746,1,Oklahoma,OK,OK-1,18,1631.67,470,0.7294700415162831
747975,38072,203713,598,2,Oklahoma,OK,OK-2,20,20995.35,35,0.6751295163608411
760974,46575,197502,647,3,Oklahoma,OK,OK-3,26,34116.73,22,0.8004780715241256
769283,49341,190509,744,4,Oklahoma,OK,OK-4,19,9777.28,78,0.7728976202515849
772136,43964,176819,736,5,Oklahoma,OK,OK-5,12,2073.9,372,0.6933908016204399
786911,61643,182694,971,1,Oregon,OR,OR-1,-7,3007.0,261,0.8074140531775512
773472,42658,193539,796,2,Oregon,OR,OR-2,10,69442.78,11,0.9045033304373008
787831,52220,174978,917,3,Oregon,OR,OR-3,-22,1074.46,733,0.7960438215810244
771311,41651,191313,812,4,Oregon,OR,OR-4,-2,17274.04,44,0.8993259528257732
779741,52258,183798,869,5,Oregon,OR,OR-5,0,5189.73,150,0.8563112623294145
704351,38789,142275,910,1,Pennsylvania,PA,PA-1,-28,77.91,9040,0.4715447269898105
718235,35300,135882,891,2,Pennsylvania,PA,PA-2,-38,74.14,9687,0.3151043878396347
703321,46195,202191,640,3,Pennsylvania,PA,PA-3,8,3850.8,182,0.9216090519122848
710769,56264,196642,823,4,Pennsylvania,PA,PA-4,9,1517.84,468,0.8551540655262118
704890,45222,196250,672,5,Pennsylvania,PA,PA-5,8,10711.21,65,0.942098767183532
720817,72491,203233,1052,6,Pennsylvania,PA,PA-6,2,860.47,837,0.878616902764502
710660,77914,200963,1079,7,Pennsylvania,PA,PA-7,2,862.56,823,0.8822221596825486
707648,75305,200553,1101,8,Pennsylvania,PA,PA-8,1,706.93,1001,0.890469555485213
705006,44621,203260,639,9,Pennsylvania,PA,PA-9,14,5730.09,123,0.9457465610221756
709274,48731,203205,710,10,Pennsylvania,PA,PA-10,12,8378.06,84,0.9353578447821294
703412,50502,198890,736,11,Pennsylvania,PA,PA-11,6,3356.48,209,0.8954638248992056
703325,54597,221863,674,12,Pennsylvania,PA,PA-12,9,2163.03,325,0.9338271780471332
717729,55533,171145,976,13,Pennsylvania,PA,PA-13,-13,155.18,4625,0.6588001878146208
706047,40622,172914,716,14,Pennsylvania,PA,PA-14,-15,209.29,3373,0.7227493353841883
715255,56710,190644,886,15,Pennsylvania,PA,PA-15,2,1285.03,556,0.8537430706531237
710118,52450,172942,862,16,Pennsylvania,PA,PA-16,4,997.68,711,0.8300071255763126
701112,47403,187701,725,17,Pennsylvania,PA,PA-17,-4,1733.22,404,0.8837261379066398
707890,58364,219504,732,18,Pennsylvania,PA,PA-18,10,2072.79,341,0.9388040514769244
527461,51564,113928,877,1,Rhode Island,RI,RI-1,-15,268.49,1964,0.7784063655891147
523261,60624,133298,944,2,Rhode Island,RI,RI-2,-8,765.32,683,0.8462392572731391
693096,57303,182362,1006,1,South Carolina,SC,SC-1,11,1547.86,447,0.7439113773560949
672944,52205,187228,812,2,South Carolina,SC,SC-2,16,3022.17,222,0.7065179271975083
664638,40362,179913,662,3,South Carolina,SC,SC-3,18,5268.28,126,0.7736196245174065
677291,45835,169016,730,4,South Carolina,SC,SC-4,15,1299.3,521,0.7479798196048671
672257,43352,180252,704,5,South Carolina,SC,SC-5,9,5505.54,122,0.6840776667256718
672033,33079,145468,750,6,South Carolina,SC,SC-6,-21,8062.93,83,0.3815690598527156
671664,38107,178002,715,7,South Carolina,SC,SC-7,7,5354.62,125,0.6601142833321423
834236,49332,220794,644,1,South Dakota,SD,SD-1,10,75811.0,11,0.8533940036152842
708481,37834,205010,618,1,Tennessee,TN,TN-1,25,4141.92,171,0.9422779157098072
716280,45526,194690,755,2,Tennessee,TN,TN-2,20,2320.68,308,0.893147930976713
715497,41081,193984,688,3,Tennessee,TN,TN-3,16,4570.32,156,0.8541936583940953
721027,45301,187173,710,4,Tennessee,TN,TN-4,18,5984.84,120,0.8646375239762173
726782,45938,160484,833,5,Tennessee,TN,TN-5,-5,1248.57,582,0.6515530103937632
719260,44306,200695,693,6,Tennessee,TN,TN-6,21,6474.21,111,0.920607290826683
722803,49197,190012,749,7,Tennessee,TN,TN-7,18,9160.44,78,0.8462388783665812
706539,51352,190569,684,8,Tennessee,TN,TN-8,19,6850.53,103,0.7628213021503413
713085,36691,132759,820,9,Tennessee,TN,TN-9,-25,483.39,1475,0.2804686678306233
707759,43231,171246,743,1,Texas,TX,TX-1,24,7858.86,90,0.7711085270551133
730716,70444,161186,984,2,Texas,TX,TX-2,16,308.75,2366,0.7163781824949775
744450,83221,172603,1072,3,Texas,TX,TX-3,17,480.88,1548,0.7285056081671032
708532,46908,183523,729,4,Texas,TX,TX-4,25,10122.99,69,0.8173900402522398
718316,44318,157311,789,5,Texas,TX,TX-5,17,5043.85,142,0.7521522561101243
727566,58915,169037,883,6,Texas,TX,TX-6,11,2148.41,338,0.6949898703347875
728070,66523,147174,993,7,Texas,TX,TX-7,13,161.94,4495,0.6719848366228522
742426,60251,179358,914,8,Texas,TX,TX-8,29,6053.76,122,0.8319307244088974
719126,41470,117968,816,9,Texas,TX,TX-9,-25,165.64,4341,0.3836504312178951
726353,62289,174848,933,10,Texas,TX,TX-10,11,5070.95,143,0.7671325099503961
718152,48543,179673,774,11,Texas,TX,TX-11,31,27832.17,25,0.8740740121868351
723781,58596,166625,885,12,Texas,TX,TX-12,19,1441.16,502,0.8161115033414804
700518,46860,174973,702,13,Texas,TX,TX-13,32,38349.24,18,0.8634524737408603
709301,52412,171941,799,14,Texas,TX,TX-14,12,2441.39,290,0.7178278333175901
724868,39266,142655,671,15,Texas,TX,TX-15,-5,7804.07,92,0.8970957470877456
720643,42048,138047,746,16,Texas,TX,TX-16,-12,710.35,1014,0.823986356628733
717600,45024,146648,842,17,Texas,TX,TX-17,13,7651.16,93,0.7528706800445931
727976,39432,119981,795,18,Texas,TX,TX-18,-24,235.2,3095,0.46212512500412106
710487,43821,158231,733,19,Texas,TX,TX-19,26,25835.59,27,0.8300897834865381
730585,45169,136485,817,20,Texas,TX,TX-20,-6,199.68,3658,0.7814367938022271
733852,59997,172801,961,21,Texas,TX,TX-21,12,5920.89,123,0.8691834320816731
753155,85106,182359,1038,22,Texas,TX,TX-22,15,1032.84,729,0.6307201040954385
717171,47996,160007,738,23,Texas,TX,TX-23,3,58059.18,12,0.8420376730235886
730210,62600,143843,924,24,Texas,TX,TX-24,13,262.76,2778,0.6777502362334124
726962,59597,173329,933,25,Texas,TX,TX-25,12,7620.7,95,0.8447745549285932
745740,78457,177084,1006,26,Texas,TX,TX-26,20,907.15,822,0.8093544667042133
707737,48082,161303,799,27,Texas,TX,TX-27,13,9128.25,77,0.8444224337571725
724133,42748,145345,756,28,Texas,TX,TX-28,-7,9378.53,77,0.8726421803729425
716620,36813,108005,739,29,Texas,TX,TX-29,-12,187.07,3830,0.7098183137506628
723640,41496,131597,859,30,Texas,TX,TX-30,-27,356.27,2031,0.4341675418716489
742564,61563,160073,937,31,Texas,TX,TX-31,12,2154.49,344,0.7706770056183709
721770,62062,156312,950,32,Texas,TX,TX-32,10,185.66,3887,0.6326405918782991
709378,34395,104473,741,33,Texas,TX,TX-33,-18,211.94,3347,0.6519331019569257
712561,34347,140587,639,34,Texas,TX,TX-34,-8,8190.32,87,0.9015859694819109
736986,39450,124566,836,35,Texas,TX,TX-35,-11,593.77,1241,0.7092224275630745
710267,53344,181686,808,36,Texas,TX,TX-36,25,7125.83,99,0.800769288169097
709157,59082,165183,799,1,Utah,UT,UT-1,27,19560.79,36,0.8929066483162402
709305,52766,155550,815,2,Utah,UT,UT-2,18,39987.95,17,0.8615052762915812
712146,62195,144108,883,3,Utah,UT,UT-3,28,20070.54,35,0.9085257798260468
726231,60377,154348,951,4,Utah,UT,UT-4,16,2550.35,284,0.8552154892864667
626303,53853,182581,871,1,Vermont,VT,VT-1,-16,9216.66,67,0.950843281925841
751432,76044,192742,1214,1,Virginia,VA,VA-1,6,3684.32,203,0.734682579395075
726166,59963,166412,1125,2,Virginia,VA,VA-2,2,991.68,732,0.6740869167655881
745074,40424,137437,891,3,Virginia,VA,VA-3,-27,947.1,786,0.3550103748084083
738953,60792,185162,1004,4,Virginia,VA,VA-4,4,4310.34,171,0.6175020603475457
728231,47800,202886,773,5,Virginia,VA,VA-5,5,10029.79,72,0.7504720342858241
735731,47086,192707,759,6,Virginia,VA,VA-6,12,5930.02,124,0.8418375737871586
745462,70048,203231,1065,7,Virginia,VA,VA-7,10,2776.39,268,0.7667607470266761
760961,95687,155422,1641,8,Virginia,VA,VA-8,-16,149.24,5098,0.6366081835994223
723948,38372,205292,626,9,Virginia,VA,VA-9,15,9113.87,79,0.9143170503958848
765146,110981,196324,1447,10,Virginia,VA,VA-10,2,1372.24,557,0.7356831245278679
763195,101433,170445,1677,11,Virginia,VA,VA-11,-10,185.09,4123,0.6062461101029226
696870,79316,184858,1232,1,Washington,WA,WA-1,-4,6186.47,112,0.8181913412831662
685639,56810,158990,1027,2,Washington,WA,WA-2,-8,1015.02,675,0.8047952348101552
685541,52324,168910,883,3,Washington,WA,WA-3,2,9114.01,75,0.8719755638247749
692926,49002,150227,750,4,Washington,WA,WA-4,13,19250.22,35,0.7425381642484191
679793,46356,169497,743,5,Washington,WA,WA-5,7,15473.13,43,0.8900547666716192
682733,53880,177137,927,6,Washington,WA,WA-6,-5,6902.73,98,0.8173824906661902
694877,66518,156711,1113,7,Washington,WA,WA-7,-29,144.13,4821,0.761913259468942
690317,70526,180432,1049,8,Washington,WA,WA-8,1,7359.7,93,0.8042928104044953
697816,62487,142188,1091,9,Washington,WA,WA-9,-17,183.43,3804,0.5611722861040733
689559,56368,154204,989,10,Washington,WA,WA-10,-5,826.67,834,0.7547867550129865
618410,40662,173081,601,1,West Virginia,WV,WV-1,14,6275.56,98,0.949265050694523
624214,44750,181570,677,2,West Virginia,WV,WV-2,11,8017.31,77,0.9224737029288032
612768,36754,181231,584,3,West Virginia,WV,WV-3,14,9745.33,62,0.9381364562118126
713079,57790,192673,830,1,Wisconsin,WI,WI-1,3,1727.92,412,0.8853451020153448
728000,57143,185951,857,2,Wisconsin,WI,WI-2,-17,4536.69,160,0.8744945054945055
712595,48288,195426,688,3,Wisconsin,WI,WI-3,-5,11111.79,64,0.9424469719826829
715738,37671,127614,770,4,Wisconsin,WI,WI-4,-23,128.35,5576,0.533899275992053
714788,62633,202039,844,5,Wisconsin,WI,WI-5,13,1890.75,378,0.9279912365624492
710274,52617,204030,679,6,Wisconsin,WI,WI-6,5,4918.39,144,0.9337185367900276
712153,47416,221133,660,7,Wisconsin,WI,WI-7,2,23037.26,30,0.9388305602869046
718725,53118,208337,683,8,Wisconsin,WI,WI-8,2,6806.67,105,0.910356534140318
575535,57197,154985,769,1,Wyoming,WY,WY-1,22,97093.14,5,0.9079708445185783
