State,District,Land area (square miles)
Florida,17,6369.97
Tennessee,6,6474.21
New Hampshire,2,6489.00
California,21,6729.94
Wisconsin,8,6806.67
North Carolina,11,6838.24
Tennessee,8,6850.53
Missouri,3,6851.54
California,24,6883.35
Washington,6,6902.73
Illinois,17,6933.08
Louisiana,3,6983.32
Georgia,10,7096.22
Texas,36,7125.83
Kentucky,2,7177.44
Ohio,6,7215.03
Indiana,8,7255.39
Colorado,5,7265.72
Florida,3,7306.05
Washington,8,7359.70
New York,23,7371.65
Colorado,2,7535.34
Alabama,3,7543.86
Texas,25,7620.70
Texas,17,7651.16
Texas,15,7804.07
North Carolina,3,7810.08
Arizona,2,7838.12
Texas,1,7858.86
Illinois,16,7917.49
New York,19,7937.02
Georgia,1,7982.81
West Virginia,2,8017.31
Mississippi,4,8044.48
South Carolina,6,8062.93
Georgia,12,8185.27
Texas,34,8190.32
Pennsylvania,10,8378.06
Michigan,4,8457.80
Florida,2,8613.58
Georgia,8,8711.64
Iowa,3,8789.62
Nebraska,1,8879.02
Alabama,4,8888.77
Virginia,9,9113.87
Washington,3,9114.01
Texas,27,9128.25
Tennessee,7,9160.44
Vermont,1,9216.66
Texas,28,9378.53
Georgia,2,9626.23
West Virginia,3,9745.33
Oklahoma,4,9777.28
California,23,9898.00
Virginia,5,10029.79
Texas,4,10122.99
Alabama,2,10141.63
Alabama,7,10156.13
Illinois,18,10515.95
Mississippi,1,10572.80
Pennsylvania,5,10711.21
Wisconsin,3,11111.79
Kentucky,5,11235.15
Minnesota,1,11973.99
Iowa,1,12048.84
Kentucky,1,12079.50
Iowa,2,12261.92
Louisiana,4,12435.10
Mississippi,3,12754.48
California,4,12836.20
California,2,12952.23
Kansas,2,14143.34
Kansas,4,14315.68
Missouri,4,14401.38
Louisiana,5,14452.88
Illinois,15,14695.67
New York,21,15114.76
Washington,5,15473.13
Mississippi,2,15551.51
Arizona,3,15688.79
Oregon,4,17274.04
Missouri,6,18198.62
Washington,4,19250.22
Arkansas,1,19318.29
Utah,1,19560.79
Missouri,8,19901.17
Utah,3,20070.54
Oklahoma,2,20995.35
Arkansas,4,22338.08
Iowa,4,22756.75
Wisconsin,7,23037.26
Michigan,1,25027.75
Texas,19,25835.59
Maine,2,27557.40
Texas,11,27832.17
Minnesota,8,27908.13
California,1,28089.47
California,8,32867.21
Arizona,4,33199.45
Minnesota,7,33429.31
Oklahoma,3,34116.73
Colorado,4,38102.67
Texas,13,38349.24
Idaho,1,39418.02
Utah,2,39987.95
Idaho,2,43225.09
New Mexico,3,44958.52
Colorado,3,49731.77
Nevada,4,50997.97
Kansas,1,52542.50
Arizona,1,55039.61
Nevada,2,55829.71
Texas,23,58059.18
Nebraska,3,67435.41
North Dakota,1,69000.80
Oregon,2,69442.78
New Mexico,2,71739.49
South Dakota,1,75811.00
Wyoming,1,97093.14
Montana,1,145545.80
Alaska,1,570640.95
