Sta,CD,label,pvi,Winner12,Margin12,Romney12,Obama12,Winner08,Margin08,McCain08,Obama08
TX,27,TX-27,R+13,Romney,-22,61,38,McCain,-19,59,40
TX,28,TX-28,D+7,Obama,-22,39,60,Obama,-17,41,58
TX,29,TX-29,D+12,Obama,-33,33,66,Obama,-25,37,62
TX,3,TX-3,R+17,Romney,-30,64,34,McCain,-24,62,37
TX,30,TX-30,D+27,Obama,-60,20,80,Obama,-57,21,78
TX,31,TX-31,R+12,Romney,-21,60,38,McCain,-13,56,43
TX,32,TX-32,R+10,Romney,-16,57,42,McCain,-11,55,44
TX,33,TX-33,D+18,Obama,-45,27,72,Obama,-38,31,69
TX,34,TX-34,D+8,Obama,-22,38,61,Obama,-21,39,60
TX,35,TX-35,D+11,Obama,-28,35,63,Obama,-28,36,63
TX,36,TX-36,R+25,Romney,-47,73,26,McCain,-40,70,30
TX,4,TX-4,R+25,Romney,-49,74,25,McCain,-40,70,29
TX,5,TX-5,R+17,Romney,-30,65,34,McCain,-25,62,37
TX,6,TX-6,R+11,Romney,-17,58,41,McCain,-15,57,42
TX,7,TX-7,R+13,Romney,-21,60,39,McCain,-18,59,40
TX,8,TX-8,R+29,Romney,-55,77,22,McCain,-47,73,26
TX,9,TX-9,D+25,Obama,-57,21,78,Obama,-53,23,76
UT,1,UT-1,R+27,Romney,-57,78,20,McCain,-38,67,30
UT,2,UT-2,R+18,Romney,-39,68,29,McCain,-20,59,38
UT,3,UT-3,R+28,Romney,-59,79,20,McCain,-38,67,29
UT,4,UT-4,R+16,Romney,-37,68,30,McCain,-15,56,41
VA,1,VA-1,R+6,Romney,-7,53,46,McCain,-5,52,47
VA,10,VA-10,R+2,Romney,-1,50,49,Obama,-3,48,51
VA,11,VA-11,D+10,Obama,-26,36,62,Obama,-25,37,62
VA,2,VA-2,R+2,Obama,-2,49,50,Obama,-2,49,50
VA,3,VA-3,D+27,Obama,-59,20,79,Obama,-58,21,78
VA,4,VA-4,R+4,Romney,-1,50,49,McCain,-2,50,49
VA,5,VA-5,R+5,Romney,-7,53,46,McCain,-3,51,48
VA,6,VA-6,R+12,Romney,-19,59,39,McCain,-15,57,42
VA,7,VA-7,R+10,Romney,-15,57,42,McCain,-12,56,44
VA,8,VA-8,D+16,Obama,-37,31,68,Obama,-38,31,68
VA,9,VA-9,R+15,Romney,-28,63,35,McCain,-18,58,40
VT,1,VT-1,D+16,Obama,-36,31,67,Obama,-37,31,68
WA,1,WA-1,D+4,Obama,-11,43,54,Obama,-14,42,56
WA,10,WA-10,D+5,Obama,-15,41,56,Obama,-16,41,57
WA,2,WA-2,D+8,Obama,-21,38,59,Obama,-23,38,61
WA,3,WA-3,R+2,Romney,-2,50,48,Obama,-4,47,51
WA,4,WA-4,R+13,Romney,-22,60,38,McCain,-20,59,39
WA,5,WA-5,R+7,Romney,-10,54,44,McCain,-5,51,46
WA,6,WA-6,D+5,Obama,-15,41,56,Obama,-16,41,57
WA,7,WA-7,D+29,Obama,-61,18,79,Obama,-62,18,80
WA,8,WA-8,R+1,Obama,-2,48,50,Obama,-5,47,51
WA,9,WA-9,D+17,Obama,-39,30,68,Obama,-39,30,68
WI,1,WI-1,R+3,Romney,-4,52,47,Obama,-3,48,51
WI,2,WI-2,D+17,Obama,-38,30,68,Obama,-41,29,70
WI,3,WI-3,D+5,Obama,-11,44,55,Obama,-20,39,59
WI,4,WI-4,D+23,Obama,-52,24,75,Obama,-50,25,74
WI,5,WI-5,R+13,Romney,-24,61,38,McCain,-15,57,42
WI,6,WI-6,R+5,Romney,-7,53,46,Obama,0,49,49
WI,7,WI-7,R+2,Romney,-3,51,48,Obama,-8,45,53
WI,8,WI-8,R+2,Romney,-4,51,48,Obama,-9,45,54
WV,1,WV-1,R+14,Romney,-27,62,36,McCain,-15,57,42
WV,2,WV-2,R+11,Romney,-22,60,38,McCain,-11,55,44
WV,3,WV-3,R+14,Romney,-32,65,33,McCain,-13,56,42
WY,1,WY-1,R+22,Romney,-41,69,28,McCain,-32,65,33
