Sta,CD,label,pvi,Winner12,Margin12,Romney12,Obama12,Winner08,Margin08,McCain08,Obama08
FL,11,FL-11,R+11,Romney,-19,59,40,McCain,-13,56,43
FL,12,FL-12,R+7,Romney,-9,54,45,McCain,-6,52,47
FL,13,FL-13,R+1,Obama,-2,49,50,Obama,-4,48,51
FL,14,FL-14,D+13,Obama,-31,34,65,Obama,-31,34,65
FL,15,FL-15,R+6,Romney,-7,53,46,McCain,-7,53,46
FL,16,FL-16,R+6,Romney,-9,54,45,McCain,-3,51,48
FL,17,FL-17,R+10,Romney,-16,58,42,McCain,-13,56,43
FL,18,FL-18,R+3,Romney,-4,52,48,Obama,-3,48,51
FL,19,FL-19,R+12,Romney,-22,61,39,McCain,-15,57,42
FL,2,FL-2,R+6,Romney,-6,52,47,McCain,-5,52,47
FL,20,FL-20,D+29,Obama,-66,17,83,Obama,-63,19,81
FL,21,FL-21,D+10,Obama,-22,39,61,Obama,-28,36,64
FL,22,FL-22,D+3,Obama,-10,45,55,Obama,-14,43,57
FL,23,FL-23,D+9,Obama,-24,38,62,Obama,-24,39,61
FL,24,FL-24,D+34,Obama,-75,12,88,Obama,-73,14,86
FL,25,FL-25,R+5,Romney,-2,51,49,McCain,-10,52,47
FL,26,FL-26,R+1,Obama,-7,46,53,Obama,-1,49,50
FL,27,FL-27,R+2,Obama,-7,47,53,McCain,-2,51,49
FL,3,FL-3,R+14,Romney,-24,62,38,McCain,-20,59,40
FL,4,FL-4,R+19,Romney,-34,66,33,McCain,-26,66,34
FL,5,FL-5,D+21,Obama,-47,26,73,Obama,-42,26,73
FL,6,FL-6,R+9,Romney,-16,58,41,McCain,-8,54,46
FL,7,FL-7,R+4,Romney,-5,52,47,McCain,-1,50,49
FL,8,FL-8,R+9,Romney,-15,57,42,McCain,-11,55,44
FL,9,FL-9,D+8,Obama,-24,38,61,Obama,-21,39,60
GA,1,GA-1,R+9,Romney,-13,56,43,McCain,-11,55,44
GA,10,GA-10,R+14,Romney,-26,63,36,McCain,-22,58,41
GA,11,GA-11,R+19,Romney,-35,67,32,McCain,-29,65,34
GA,12,GA-12,R+9,Romney,-12,55,44,McCain,-12,56,44
GA,13,GA-13,D+16,Obama,-39,30,69,Obama,-32,32,68
GA,14,GA-14,R+26,Romney,-48,73,25,McCain,-44,71,28
GA,2,GA-2,D+6,Obama,-18,41,59,Obama,-16,42,58
GA,3,GA-3,R+19,Romney,-33,66,33,McCain,-30,65,34
GA,4,GA-4,D+21,Obama,-48,26,74,Obama,-45,27,73
GA,5,GA-5,D+32,Obama,-67,16,83,Obama,-70,15,84
GA,6,GA-6,R+14,Romney,-24,61,37,McCain,-13,59,40
GA,7,GA-7,R+14,Romney,-22,60,38,McCain,-21,60,39
GA,8,GA-8,R+15,Romney,-24,62,38,McCain,-24,61,38
GA,9,GA-9,R+30,Romney,-58,78,21,McCain,-51,75,24
HI,1,HI-1,D+18,Obama,-41,29,70,Obama,-42,28,70
HI,2,HI-2,D+21,Obama,-45,27,71,Obama,-48,25,73
IA,1,IA-1,D+5,Obama,-14,42,56,Obama,-18,40,58
IA,2,IA-2,D+4,Obama,-13,43,56,Obama,-16,41,57
IA,3,IA-3,R+0,Obama,-4,47,51,Obama,-6,46,52
IA,4,IA-4,R+5,Romney,-8,53,45,McCain,-2,50,48
ID,1,ID-1,R+18,Romney,-33,65,32,McCain,-27,63,35
ID,2,ID-2,R+17,Romney,-31,64,33,McCain,-24,61,37
