label,year,dem_cand,dem_per,gop_cand,gop_per
FL-8,2014,Rothblatt,34.1,Posey,65.9
FL-9,2014,Grayson,54,Platt,43.1
GA-1,2014,Reese,38.8,Carter,61.2
GA-10,2014,Dious,33.5,Hice,66.5
GA-11,2014,None,0,Loudermilk,100
GA-12,2014,Barrow,45.2,Allen,54.8
GA-13,2014,Scott,100,None,0
GA-14,2014,None,0,Graves,100
GA-2,2014,Bishop,59.1,Duke,40.9
GA-3,2014,None,0,Westmoreland,100
GA-4,2014,Johnson,100,None,0
GA-5,2014,Lewis,100,None,0
GA-6,2014,Montigel,33.9,Price,66.1
GA-7,2014,Wight,34.5,Woodall,65.5
GA-8,2014,None,0,Scott,100
GA-9,2014,Vogel,19.3,Collins,80.7
HI-1,2014,Takai,51.9,Djou,48.1
HI-2,2014,Gabbard,78.7,Crowley,18.6
IA-1,2014,Murphy,48.8,Blum,51.2
IA-2,2014,Loebsack,52.5,Miller-Meeks,47.5
IA-3,2014,Appel,42.3,Young,52.9
IA-4,2014,Mowrer,38.3,King,61.7
ID-1,2014,Ringo,35,Labrador,65
ID-2,2014,Stallings,38.6,Simpson,61.4
IL-1,2014,Rush,72.2,Tillman,27.8
IL-10,2014,Schneider,48.4,Dold,51.6
IL-11,2014,Foster,53.2,Senger,46.8
IL-12,2014,Enyart,41.6,Bost,52.7
IL-13,2014,Callis,41.3,Davis,58.7
IL-14,2014,Anderson,34.4,Hultgren,65.6
IL-15,2014,Thorsland,25,Shimkus,75
IL-16,2014,Olsen,29.3,Kinzinger,70.7
IL-17,2014,Bustos,55.2,Schilling,44.8
IL-18,2014,Miller,25.2,Schock,74.8
IL-2,2014,Kelly,78.1,Wallace,21.9
IL-3,2014,Lipinski,64.4,Brannigan,35.6
IL-4,2014,Gutierrez,77.9,Concepcion,22.1
IL-5,2014,Quigley,63.1,Kolber,30.8
IL-6,2014,Mason,32.8,Roskam,67.2
IL-7,2014,Davis,85,Bumpers,15
IL-8,2014,Duckworth,55.5,Kaifesh,44.5
IL-9,2014,Schakowsky,65.8,Atanus,34.2
IN-1,2014,Visclosky,60.8,Leyva,35.9
IN-2,2014,Bock,38.3,Walorski,58.9
IN-3,2014,Kuhnle,26.7,Stutzman,69.2
IN-4,2014,Dale,33.1,Rokita,66.9
IN-5,2014,Denney,30.8,Brooks,65.2
IN-6,2014,Heitzman,29.4,Messer,65.9
IN-7,2014,Carson,54.7,Ping,41.8
IN-8,2014,Spangler,35.8,Bucshon,60.3
IN-9,2014,Bailey,33.3,Young,63.1
KS-1,2014,Sherow,32.5,Huelskamp,67.5
KS-2,2014,Wakefield,38.5,Jenkins,57.2
KS-3,2014,Kultala,39.8,Yoder,60.2
KS-4,2014,Schuckman,33.2,Pompeo,66.8
KY-1,2014,Hatchett,26.9,Whitfield,73.1
KY-2,2014,Leach,30.8,Guthrie,69.2
KY-3,2014,Yarmuth,63.5,Macfarlane,35.6
KY-4,2014,Newberry,32.3,Massie,67.7
KY-5,2014,Stepp,21.8,Rogers,78.2
KY-6,2014,Jensen,40,Barr,60
LA-1,2014,Mendoza,10.2,Dugas,8.7
LA-2,2014,Richmond,68.7,Landrieu,17.1
LA-3,2014,Barrilleaux,9.3,Boustany,78.7
LA-4,2014,Fleming,73.4,Lord,26.6
LA-5,2014,Abraham,64.2,Mayo,35.7
LA-6,2014,Graves,62.4,Edwards,37.5
MA-1,2014,Neal,100,None,0
MA-2,2014,McGovern,100,None,0
MA-3,2014,Tsongas,63,Wofford,37
MA-4,2014,Kennedy,100,None,0
MA-5,2014,Clark,100,None,0
MA-6,2014,Moulton,54.6,Tisei,40.9
MA-7,2014,Capuano,100,None,0
MA-8,2014,Lynch,100,None,0
MA-9,2014,Keating,55,Chapman,45
MD-1,2014,Tilghman,29.3,Harris,70.7
MD-2,2014,Ruppersberger,61.3,Banach,36
MD-3,2014,Sarbanes,59.4,Long,40.6
MD-4,2014,Edwards,70,Hoyt,28.6
MD-5,2014,Hoyer,64.1,Chaffee,35.9
MD-6,2014,Delaney,49.6,Bongino,48.4
MD-7,2014,Cummings,69.7,Vaughn,27.4
MD-8,2014,Van Hollen,60.3,Wallace,39.7
ME-1,2014,Pingree,60.3,Misiuk,30.7
ME-2,2014,Cain,41.8,Poliquin,47.1
MI-1,2014,Cannon,45.3,Benishek,52.1
MI-10,2014,Stadler,29.4,Miller,68.7
MI-11,2014,McKenzie,40.8,Trott,56.1
MI-12,2014,Dingell,65,Bowman,31.3
MI-13,2014,Conyers,79.7,Gorman,16.1
MI-14,2014,Lawrence,77.7,Barr,19.7
MI-2,2014,Vanderstelt,33.2,Huizenga,63.6
MI-3,2014,Goodrich,39,Amash,57.9
MI-4,2014,Holmes,39.1,Moolenaar,56.5
MI-5,2014,Kildee,66.8,Hardwick,31
MI-6,2014,Clements,40.4,Upton,55.8
MI-7,2014,Byrnes,41.2,Walberg,53.5
MI-8,2014,Schertzing,41.9,Bishop,54.8
MI-9,2014,Levin,60.4,Brikho,36.1
MN-1,2014,Walz,54.3,Hagedorn,45.7
MN-2,2014,Obermueller,38.9,Kline,56.1
MN-3,2014,Sund,37.8,Paulsen,62.2
MN-4,2014,McCollum,61.2,Wahlgren,32.9
MN-5,2014,Ellison,70.9,Daggett,24
MN-6,2014,Perske,38.4,Emmer,56.3
MN-7,2014,Peterson,54.3,Westrom,45.7
MN-8,2014,Nolan,48.5,Mills,47.1
MO-1,2014,Clay,72.9,Elder,21.6
MO-2,2014,Lieber,32.6,Wagner,64.1
MO-3,2014,Denton,27.2,Luetkemeyer,68.4
MO-4,2014,Irvin,26.4,Hartzler,68.1
MO-5,2014,Cleaver,51.6,Turk,45
MO-6,2014,Hedge,29.5,Graves,66.6
MO-7,2014,Evans,28.8,Long,63.5
MO-8,2014,Stocker,24.3,Smith,66.7
MS-1,2014,Dickey,28.8,Nunnelee,68
MS-2,2014,Thompson,67.5,Ray,24.7
MS-3,2014,Magee,27.8,Harper,69
MS-4,2014,Moore,24.3,Palazzo,70
MT-1,2014,Lewis,40.4,Zinke,55.5
NC-1,2014,Butterfield,73.3,Rich,26.7
NC-10,2014,MacQueen,39,McHenry,61
NC-11,2014,Hill,37.1,Meadows,62.9
NC-12,2014,Adams,75.4,Coakley,24.6
NC-13,2014,Cleary,42.7,Holding,57.3
NC-2,2014,Aiken,41.1,Ellmers,58.9
NC-3,2014,Adame,32.2,Jones,67.8
NC-4,2014,Price,74.7,Wright,25.3
NC-5,2014,Brannon,39,Foxx,61
NC-6,2014,Fjeld,41.3,Walker,58.7
NC-7,2014,Barfield,37.1,Rouzer,59.4
NC-8,2014,Blue,35.1,Hudson,64.9
NC-9,2014,None,0,Pittenger,100
ND-1,2014,Sinner,38.5,Cramer,55.6
NE-1,2014,Crawford,31,Fortenberry,69
NE-2,2014,Ashford,48.6,Terry,46
NE-3,2014,Sullivan,24.5,Smith,75.5
NH-1,2014,Shea-Porter,48.2,Guinta,51.8
NH-2,2014,Kuster,55,Garcia,45
NJ-1,2014,Norcross,57.3,Cobb,39.5
NJ-10,2014,Payne Jr.,85.3,Dentley,12.7
NJ-11,2014,Dunec,37.4,Frelinghuysen,62.6
NJ-12,2014,Watson Coleman,60.9,Eck,36.6
NJ-2,2014,Hughes,37,LoBiondo,61.7
NJ-3,2014,Belgard,43.8,MacArthur,54.5
NJ-4,2014,Scolavino,31.1,Smith,68
NJ-5,2014,Cho,43,Garrett,55.7
NJ-6,2014,Pallone,60,Wilkinson,38.9
NJ-7,2014,Kovach,38.7,Lance,59.3
NJ-8,2014,Sires,77.3,Tiscornia,19.1
NJ-9,2014,Pascrell,68.5,Paul,30
NM-1,2014,Lujan Grisham,58.5,Frese,41.5
NM-2,2014,Lara,35.5,Pearce,64.5
NM-3,2014,Lujan,61.2,Byrd,38.8
NV-1,2014,Titus,56.8,Teijeiro,37.9
NV-2,2014,Spees,27.9,Amodei,65.8
NV-3,2014,Bilbray,36.1,Heck,60.8
NV-4,2014,Horsford,45.8,Hardy,48.5
NY-1,2014,Bishop,45.2,Zeldin,54.8
NY-10,2014,Brady,11.9,Nadler,87.6
NY-11,2014,Recchia,42.1,Grimm,55.4
NY-12,2014,Maloney,79.9,Di Iorio,20.1
NY-13,2014,Rangel,87.4,None,0
NY-14,2014,Perri,11.8,Crowley,88.2
NY-15,2014,Ramirez,1.8,Serrano,97.2
NY-16,2014,Engel,100,None,0
NY-17,2014,Lowey,56.2,Day,43.8
NY-18,2014,Maloney,49.6,Hayworth,48
NY-19,2014,Eldridge,35,Gibson,65
NY-2,2014,Maher,29.9,King,68.5
NY-20,2014,Tonko,61.2,Fischer,38.8
NY-21,2014,Woolf,33.5,Stefanik,55.2
NY-22,2014,None,0,Hanna,100
NY-23,2014,Robertson,37.4,Reed,62.6
NY-24,2014,Maffei,40.1,Katko,59.9
NY-25,2014,Slaughter,50.2,Assini,49.8
NY-26,2014,Higgins,68.9,Weppner,31.1
NY-27,2014,O'Donnell,28.3,Collins,71.7
NY-3,2014,Israel,54.5,Lally,45.5
NY-4,2014,Rice,52.7,Blakeman,47.3
NY-5,2014,Meeks,95.2,Steinhardt,4.8
NY-6,2014,Meng,100,None,0
NY-7,2014,Velazquez,89,Fernandez,8.9
NY-8,2014,Jeffries,91.9,None,0
NY-9,2014,Clarke,89.5,None,0
OH-1,2014,Kundrata,36.5,Chabot,63.5
OH-10,2014,Klepinger,31.3,Turner,65.4
OH-11,2014,Fudge,79.2,Zetzer,20.8
OH-12,2014,Tibbs,27.7,Tiberi,68.2
OH-13,2014,Ryan,68.5,Pekarek,31.5
OH-14,2014,Wager,33,Joyce,63.3
OH-15,2014,Wharton,33.9,Stivers,66.1
OH-16,2014,Crossland,36.2,Renacci,63.8
OH-2,2014,Tyszkiewicz,33.9,Wenstrup,66.1
OH-3,2014,Beatty,63.9,Adams,36.1
OH-4,2014,Garrett,32.2,Jordan,67.8
OH-5,2014,Fry,28.8,Latta,66.6
OH-6,2014,Garrison,38.6,Johnson,58.2
OH-7,2014,None,0,Gibbs,100
OH-8,2014,Poetter,27.3,Boehner,67.3
OH-9,2014,Kaptur,67.7,May,32.3
OK-1,2014,None,0,Bridenstine,100
OK-2,2014,Everett,24.6,Mullin,70
OK-3,2014,Robbins,21.3,Lucas,78.7
OK-4,2014,Smith,24.7,Cole,70.8
OK-5,2014,McAffrey,36.3,Russell,60.1
OR-1,2014,Bonamici,57.6,Yates,34.6
OR-2,2014,Christofferson,25.6,Walden,70.8
OR-3,2014,Blumenauer,73,Buchal,19.5
OR-4,2014,DeFazio,58.4,Robinson,37.9
OR-5,2014,Schrader,53.9,Smith,39.4
PA-1,2014,Brady,82.9,Rath,17.1
PA-10,2014,Brion,24.8,Marino,62.5
PA-11,2014,Ostrowski,33.7,Barletta,66.3
PA-12,2014,McClelland,40.7,Rothfus,59.3
PA-13,2014,Boyle,67.1,Adcock,32.9
PA-14,2014,Doyle,100,None,0
PA-15,2014,None,0,Dent,100
PA-16,2014,Houghton,42.2,Pitts,57.8
PA-17,2014,Cartwright,56.8,Moylan,43.2
PA-18,2014,None,0,Murphy,100
PA-2,2014,Fattah,87.7,James,12.3
PA-3,2014,LaVallee,39.5,Kelly,60.5
PA-4,2014,Thompson,25.5,Perry,74.5
PA-5,2014,Taylor,36.4,Thompson,63.6
PA-6,2014,Trivedi,43.8,Costello,56.2
PA-7,2014,Balchunis,38,Meehan,62
PA-8,2014,Strouse,38.1,Fitzpatrick,61.9
PA-9,2014,Hartzok,36.4,Shuster,63.6
RI-1,2014,Cicilline,59.6,Lynch,40.4
RI-2,2014,Langevin,62.3,Reis,37.7
SC-1,2014,None,0,Sanford,100
SC-2,2014,Black,35.3,Wilson,62.6
SC-3,2014,Mullis,28.6,Duncan,71.4
SC-4,2014,Gowdy,85.2,McLaughlin,14.8
SC-5,2014,Adams,41.1,Mulvaney,58.9
SC-6,2014,Clyburn,72.8,Culler,25.4
SC-7,2014,Bromell-Tinubu,40,Rice,60
SD-1,2014,Robinson,33.5,Noem,66.5
TN-1,2014,Roe,82.8,Smith,7.1
TN-2,2014,Scott,22.6,Duncan,72.5
TN-3,2014,Headrick,34.6,Fleischmann,62.4
TN-4,2014,Sherrell,35.3,DesJarlais,58.3
TN-5,2014,Cooper,62.3,Ries,35.8
TN-6,2014,Powers,23,Black,71.1
TN-7,2014,Cramer,26.8,Blackburn,70
TN-8,2014,Bradley,24.6,Fincher,70.8
TN-9,2014,Cohen,75,Bergmann,23.3
TX-1,2014,McKellar,22.5,Gohmert,77.5
TX-10,2014,Walter-Cadien,34.1,McCaul,62.2
TX-11,2014,Conaway,90.3,Lange,9.7
TX-12,2014,Greene,26.3,Granger,71.3
TX-13,2014,Minter,12.8,Thornberry,84.3
TX-14,2014,Brown,36.1,Weber,61.8
TX-15,2014,Hinojosa,54.2,Zamora,43.1
TX-16,2014,O'Rourke,67.5,Roen,29.2
TX-17,2014,Haynes,32.4,Flores,64.6
TX-18,2014,Jackson Lee,71.8,Seibert,24.8
TX-19,2014,Marchbanks,18.4,Neugebauer,77.2
TX-2,2014,Letsos,29.6,Poe,68
TX-20,2014,Castro,75.7,Blunt,24.3
TX-21,2014,Smith,71.8,Diaz,14.7
TX-22,2014,Briscoe,31.6,Olson,66.6
TX-23,2014,Gallego,47.7,Hurd,49.8
TX-24,2014,McGehearty,32.3,Marchant,65.1
TX-25,2014,Montoya,36.2,Williams,60.2
TX-26,2014,Burgess,82.7,Boler,17.3
TX-27,2014,Reed,33.7,Farenthold,63.6
TX-28,2014,Cuellar,82.1,Cary,4.6
TX-29,2014,Green,89.5,Stanczak,10.5
TX-3,2014,Johnson,82,Blair,18
TX-30,2014,Johnson,87.9,Williams,5.3
TX-31,2014,Minor,32,Carter,64.1
TX-32,2014,Perez,35.4,Sessions,61.8
TX-33,2014,Veasey,86.5,Reeves,13.5
TX-34,2014,Vela,59.6,Smith,38.4
TX-35,2014,Doggett,62.5,Narvaiz,33.3
TX-36,2014,Cole,22,Babin,76
TX-4,2014,None,0,Ratcliffe,100
TX-5,2014,Hensarling,85.5,Ashby,14.5
TX-6,2014,Cozad,36.4,Barton,61.2
TX-7,2014,Cargas,34.5,Culberson,63.3
TX-8,2014,Brady,89.3,Petty,10.7
TX-9,2014,Green,90.8,Johnson,9.2
UT-1,2014,McAleer,29,Bishop,64.2
UT-2,2014,Robles,33.2,Stewart,60.4
UT-3,2014,Wonnacott,22.6,Chaffetz,72.3
UT-4,2014,Owens,46.8,Love,50
VA-1,2014,Mosher,34.5,Wittman,63
VA-10,2014,Foust,40.4,Comstock,56.6
VA-11,2014,Connolly,56.9,Scholte,40.4
VA-2,2014,Patrick,42.1,Rigell,57.9
VA-3,2014,Scott,100,None,0
VA-4,2014,Fausz,37.5,Forbes,60.3
VA-5,2014,Gaughan,35.8,Hurt,61
VA-6,2014,Goodlatte,75.5,Hildebrandt,12
VA-7,2014,Trammell,36.9,Brat,60.9
VA-8,2014,Beyer,63,Edmond,31.7
VA-9,2014,Griffith,74.9,Carr,25.1
VT-1,2014,Welch,64.4,Donka,31.1
WA-1,2014,DelBene,55,Celis,45
WA-10,2014,Heck,54.6,McDonald,45.4
WA-2,2014,Larsen,60.7,Guillot,39.3
WA-3,2014,Dingethal,38.5,Herrera Beutler,61.5
WA-4,2014,Didier,49.1,Newhouse,50.9
WA-5,2014,Pakootas,39.6,McMorris Rodgers,60.4
WA-6,2014,Kilmer,63,McClendon,37
WA-7,2014,McDermott,80.8,Keller,19.2
WA-8,2014,Ritchie,36.6,Reichert,63.4
WA-9,2014,Smith,70.7,Basler,29.3
WI-1,2014,Zerban,36.7,Ryan,63.3
WI-2,2014,Pocan,68.5,Theron,31.5
WI-3,2014,Kind,56.7,Kurtz,43.3
WI-4,2014,Moore,70.3,Sebring,26.9
WI-5,2014,Rockwood,30.5,Sensenbrenner,69.5
WI-6,2014,Harris,40.9,Grothman,56.8
WI-7,2014,Westlund,39.5,Duffy,59.2
WI-8,2014,Gruett,34.9,Ribble,65.1
WV-1,2014,Gainer,36,McKinley,64
WV-2,2014,Casey,43.9,Mooney,47.1
WV-3,2014,Rahall,44.7,Jenkins,55.3
WY-1,2014,Grayson,23,Lummis,68.5
