label,year,dem_cand,dem_per,gop_cand,gop_per
IA-2,2012,Loebsack,55.4,Archer,42.5
IA-3,2012,Boswell,43.6,Latham,52.3
IA-4,2012,Vilsack,44.6,King,53.2
ID-1,2012,Farris,30.8,Labrador,63
ID-2,2012,LeFavour,34.8,Simpson,65.2
IL-1,2012,Rush,73.8,Peloquin,26.2
IL-10,2012,Schneider,50.5,Dold,49.5
IL-11,2012,Foster,58.1,Biggert,41.9
IL-12,2012,Enyart,51.5,Plummer,42.9
IL-13,2012,Gill,46.2,Davis,46.6
IL-14,2012,Anderson,41.2,Hultgren,58.8
IL-15,2012,Michael,31.1,Shimkus,68.9
IL-16,2012,Rohl,38.1,Kinzinger,61.9
IL-17,2012,Bustos,53.3,Schilling,46.7
IL-18,2012,Waterworth,25.8,Schock,74.2
IL-2,2012,Jackson,63,Woodworth,23.5
IL-3,2012,Lipinski,68.4,Grabowski,31.6
IL-4,2012,Gutierrez,83.3,Concepcion,16.7
IL-5,2012,Quigley,65.6,Schmitt,28.7
IL-6,2012,Coolidge,40.8,Roskam,59.2
IL-7,2012,Davis,84.6,Zak,11
IL-8,2012,Duckworth,54.7,Walsh,45.3
IL-9,2012,Schakowsky,66.1,Wolfe,33.9
IN-1,2012,Visclosky,67.3,Phelps,32.7
IN-2,2012,Mullen,47.6,Walorski,49
IN-3,2012,Boyd,32.9,Stutzman,67.1
IN-4,2012,Nelson,34.2,Rokita,61.9
IN-5,2012,Reske,37.6,Brooks,58.4
IN-6,2012,Bookout,35.1,Messer,59.1
IN-7,2012,Carson,62.8,May,37.2
IN-8,2012,Crooks,43.1,Bucshon,53.4
IN-9,2012,Yoder,43.7,Young,56.3
KS-1,2012,None,0,Huelskamp,100
KS-2,2012,Schlingensiepen,38.8,Jenkins,57
KS-3,2012,None,0,Yoder,68.6
KS-4,2012,Tillman,31.4,Pompeo,62.5
KY-1,2012,Hatchett,30.4,Whitfield,69.6
KY-2,2012,Williams,31.7,Guthrie,64.3
KY-3,2012,Yarmuth,64,Wicker,34.5
KY-4,2012,Adkins,35,Massie,62.1
KY-5,2012,Stepp,21.8,Rogers,78.2
KY-6,2012,Chandler,46.7,Barr,50.6
LA-1,2012,Mendoza,21.3,Scalise,66.6
LA-2,2012,Richmond,55.2,Landrieu,25
LA-3,2012,Richard,21.5,Landry,30
